name,address,rating
كافيه,3205-3263 طريق عمر بن الخطاب الفرعي، الصناعية القديمة، الرياض 12844,0.0
اوكاوا,النرجس، الرياض 11331,4.3
تشابتر,8113 طريق الثمامة، الربيع، الرياض 13315,4.3
محل سيجارة فاخرة,MJ8J+79R، 8257، الهدا، الرياض 12912,3.8
سكرمي,"Prince Muhammad Ibn Saad Ibn Abdulaziz Rd, Al Aqiq, Riyadh 135, الرياض 13515",4.4
مخبز توستيك,3928 عمر التميمي، التعاون، الرياض 12476,4.2
Les Deux Magots,"2941 طريق مكة المكرمة الفرعي, الهدا، الرياض 12912",4.5
The Capital Lounge,طريق الملك فهد، الصحافة، الرياض 13315,4.8
هنا,الطريق الدائري الشمالي الفرعي، العقيق، الرياض 13511,4.2
ايلوج,الربيع، طريق الثمامة، حي، الرياض 13315,4.4
برنش اند كيك,"البجيري، Al Bujairi, Ad Diriyah 13711 11564",4.4
سمبريرو,4086 طريق الأمير محمد بن عبدالعزيز، السليمانية، الرياض 12242,4.5
هيومن بين,"Abi Sufyan Bin Harb Street, AnNuzha, الرياض 12474",4.6
إلنا كافيه,6779 طريق الأمير تركي بن عبدالعزيز الأول، المحمدية، الرياض 12362 2997،,3.6
زمكان,Muhammad Ibn Saad Ibn Abdulaziz Rd، العقيق، الرياض 13515,4.3
ج س ت كافيه,HP76+R2F، بدر، الرياض 14716,4.0
فارزي كافيه,QH3P+P8X The Residence، حطين، الرياض 13514,4.3
دوحة القهوة,QR9J+C73، ابن الهيثم، النهضة، الرياض 13222,4.7
