name,address,rating
فايبر كافيه,H4MR+6QC، شارع الأمير سعود الفيصل، الزهراء، جدة 23424,4.3
خيالي كافيه,طريق الامير متعب بن عبدالعزيز، حي المروة - تقاطع شارع حراء مع، جدة 23541,3.9
رينو كافيه,6940 وادي الملاحي، حي الرياض، جدة 23874,4.3
مايرا,"7750 شارع حراء، الشاطئ، District, 3362, جدة 23514",4.3
One Shot Coffee Jeddah,"مركز بن حمران التجاري، طريق الأمير محمد بن عبد العزيز الفرعي، الروضة، جدة 23432،،, جدة 23432",5.0
Ash Cafe,"Dist - Store 7, 3577 قريش، السلامة، جدة 23437",4.4
Crepeccino Cafe كربتشينو كافيه,المناهج، النهضة، جدة 23523,4.6
انسان كافيه (insan cafe),شارع الملك عبدالعزيز، البلد، جدة 22233,3.0
Hora Cafe,طريق الامير سلطان، Street، جدة 23431,3.7
BRB Cafe,طريق الملك عبدالعزيز، الشاطئ، جدة 23412,4.1
Raksha,"3362 Hiraa St - Ash Shati District, Jeddah 23514 - 7750، جدة 23514",4.4
ال اي ستارز كافي,طريق الملك فهد فرعي، العزيزية، جدة 23334,3.7
ليلى,Villa #50، محمود نصيف، الأندلس، جدة 23326,4.1
Universed,أسامه شبكشي، الشراع، جدة 23816,4.2
‫كاراميل لاونج,Al Hamra District، جدة 23321,4.1
Daily Edition | ديلي اديشن,"عبدالمقصود خوجة، الروضة،, Skywalk, Abdul Maqsud Khojah, Ar Rawdah, جدة 23435",4.5
قهوة اليوم,النسيم، جدة 22422,5.0
Marmalade,المرجان، جدة 23715,4.3
Hadiqat Laila Café,"Madinah Branch Road, الأندلس، جدة 23326",4.3
Costa Coffee,"5281 الأمير ماجد، فرعي, JDBD8276، 8276, جدة 23447",4.8
كاسبر آند غامبينيز,"طريق الامير سلطان، Street, El Khayyat Center، جدة",4.3
مطعم وكافيه أغافي - مارينا مول أبحر,"حي, طريق الملك عبدالعزيز الفرعي، أبحر الجنوبية، جدة 23734",4.1
Kokiyan Cuisine & Café مطعم و كافيه كوكيان,"District, Al Kurnaysh Road, Abhur Al Janubiyah, جدة 23734",4.7
كافيه جدة زون,الهدى، الهدا، جدة 23216,4.3
تيبلند,PLAZA، شارع اليمامة، السلامة، جدة 23524,4.5
فندق روزوود جدة,"طريق الكورنيش الفرعي، Corniche Street, Al Shatie District، جدة 23415",4.5
كافيه,J622+MQC دوار النجمة، الصفا، جدة 23452,1.0
Aiglon Lounge,طريق الامير سلطان، الروضة، جدة 23433,4.4
