name,address,rating
بياتو,12451 الصنوبر، الملك عبدالله، الرياض 12451,4.2
أوبليزير,شارع التخصصي الفرعي، المحمدية، الرياض 11421,4.3
سباجو,"حي، طريق مكة المكرمة، الهدا، ڤيا رياض, الطابق الأرضي، الرياض 12912",4.3
ملاذ,طريق العروبة، الرائد، الرياض 12351,3.9
شبابيك,PP44+RQ، 7178 شارع الأمير عبدالعزيز بن مساعد بن جلوي، السليمانية، الرياض 12243,4.2
القرية النجدية,شارع التخصصي،، العليا، الرياض 12331,3.8
انتروكوت كافيه دو باريس,"طريق الملك فهد الفرعي، Al Faisaliah Tower, الرياض",4.4
كاتش ٢٢,المحمدية، الرياض 12362,4.6
مطعم ديوان,"Prince Abdul Rehman bin Abdul Aziz, المربع، الرياض 12624",4.1
أزور,near the KAFD، شارع العليا، العليا، الرياض 11433,4.6
سهيل,الطريق الدائري الشمالي الفرعي، النخيل، الرياض 11564,3.8
ال باريتو,"KAFD 5.08 KAFD, 2822 – 6591, الرياض 13519",4.1
شيبرياني,6927 طريق الأمير محمد بن سعد بن عبدالعزيز، حطين، الرياض 13512,4.0
البطريق,MMGG+834، طريق مكة المكرمة الفرعي، المعذر الشمالي، الرياض 12312,4.3
Chi Spacca,"حي, طريق مكة المكرمة، الهدا، ڤيا رياض, الطابق السفلي, الرياض 12912",4.5
باغاتيلي الرياض,MJRM+P2R، وادي العمارية، أم الحمام الغربي، الرياض 12329,3.8
ماديو,2941 طريق مكة المكرمة الفرعي، الهدا، الرياض 12912,4.1
تيرو سوشي,"حي, 2941 طريق مكة المكرمة، الهدا، 8425, الرياض 12912",3.9
مطعم طليطلة الخليجية,شارع الامير منصور بن عبدالعزيز، المربع، الرياض 12626,3.8
Stella Sky - Lounge,"District, 2941 Makkah Al Mukarramah Road, Al Hada, الرياض 12912",4.4
موهلا,8596 Prince Turki Bin Abdulaziz Al Awwal، جامعة الملك سعود، الرياض 12371,4.6
نايا,طريق الملك فهد، النموذجية، الرياض 12731,4.2
